# I used https://apps.automeris.io/wpd/ to try to extract the data from Figure
# 1 in Vish 2005. I was able to approximately choose 69 points, but Vish said
# they did 77 site visits. Some were hard to select because of the overlapping
# square markers in the Figure. This should still give reasonable mean values
# for floors 1, 2, and 3. Both 4 and 5 have only 1 data point each.
floor number,height
1, 2.301587301587297
1, 12.539682539682538
1, 10.952380952380949
1, 9.682539682539684
1, 8.809523809523803
1, 8.095238095238095
1, 7.301587301587304
5, 54.76190476190476
4.000000000000002, 32.14285714285714
2.9923664122137414, 44.76190476190476
3.0000000000000004, 42.06349206349206
2.9923664122137414, 40.793650793650784
3.0000000000000004, 39.047619047619044
2.9923664122137414, 36.11111111111111
3.0000000000000004, 35.15873015873015
3.0000000000000004, 33.492063492063494
3.0000000000000004, 33.09523809523809
3.0000000000000004, 32.698412698412696
2.9923664122137414, 32.222222222222214
3.0000000000000004, 29.44444444444444
2.9923664122137414, 28.650793650793645
3.0000000000000004, 27.698412698412696
3.0000000000000004, 26.746031746031743
3.0000000000000004, 26.269841269841265
3.0000000000000004, 25.714285714285708
3.0000000000000004, 25.317460317460316
3.0000000000000004, 21.507936507936506
3.0000000000000004, 20.714285714285715
3.0000000000000004, 19.76190476190476
3.0000000000000004, 19.36507936507936
3.0000000000000004, 18.73015873015872
3.0000000000000004, 18.412698412698404
2.9923664122137414, 17.936507936507937
1.9923664122137406, 27.38095238095238
2.0000000000000004, 22.936507936507937
2.0000000000000004, 22.301587301587297
2.0000000000000004, 21.904761904761898
2.00763358778626, 6.4285714285714235
2.0000000000000004, 6.666666666666664
2.0000000000000004, 8.015873015873012
2.0000000000000004, 10.634920634920633
2.00763358778626, 10.952380952380949
2.0000000000000004, 11.74603174603174
1.9923664122137406, 13.253968253968253
1.9923664122137406, 14.285714285714285
1.9770992366412217, 15.317460317460316
2.0152671755725193, 15
2.0000000000000004, 14.047619047619044
2.0000000000000004, 13.650793650793645
2.00763358778626, 16.74603174603174
1.9923664122137406, 17.619047619047613
2.0000000000000004, 17.77777777777778
1.9923664122137406, 18.253968253968253
1.9847328244274811, 18.492063492063494
1.9923664122137406, 18.73015873015872
2.0000000000000004, 19.126984126984127
2.0000000000000004, 19.36507936507936
2.0000000000000004, 19.6031746031746
1.9923664122137406, 19.999999999999993
2.0000000000000004, 20.55555555555555
2.0000000000000004, 20.95238095238095
2.0000000000000004, 21.34920634920634
1.9923664122137406, 22.14285714285714
1.9923664122137406, 17.380952380952372
2.00763358778626, 15.634920634920633
2.9847328244274816, 29.44444444444444
3.0152671755725193, 28.650793650793645
2.0152671755725193, 14.76190476190476
2.00763358778626, 14.603174603174601
